Date,Open,Close,Diff,ShortMA,LongMA,Trend,Unusual
2015-03-05,2098.54,2101.04,0.119,2062.22,2034.91,1,0.0
2015-03-06,2100.91,2071.26,-1.411,2062.08,2036.56,1,0.0
2015-03-09,2072.25,2079.43,0.346,2062.02,2038.61,1,0.0
2015-03-10,2076.14,2044.16,-1.54,2061.27,2040.27,0,0.0
2015-03-11,2044.69,2040.24,-0.218,2060.3,2042.05,0,0.0
2015-03-12,2041.1,2065.95,1.217,2059.81,2044.08,1,0.0
2015-03-13,2064.56,2053.4,-0.541,2059.27,2045.75,0,0.0
2015-03-16,2055.35,2081.19,1.257,2059.71,2047.52,1,0.0
2015-03-17,2080.59,2074.28,-0.303,2060.03,2048.85,1,0.0
2015-03-18,2072.84,2099.5,1.286,2061.61,2050.57,1,0.0
2015-03-19,2098.69,2089.27,-0.449,2063.35,2051.96,1,0.0
2015-03-20,2090.32,2108.1,0.851,2064.99,2053.39,1,0.0
2015-03-23,2107.99,2104.42,-0.169,2065.84,2054.82,1,0.0
2015-03-24,2103.94,2091.5,-0.591,2066.77,2055.88,1,0.0
2015-03-25,2093.1,2061.05,-1.531,2067.43,2056.67,0,0.0
2015-03-26,2059.94,2056.15,-0.184,2068.09,2057.29,0,0.0
2015-03-27,2055.78,2061.02,0.255,2069.08,2057.72,0,0.0
2015-03-30,2064.11,2086.24,1.072,2070.95,2058.4,1,0.0
2015-03-31,2084.05,2067.89,-0.775,2071.92,2058.96,0,0.0
2015-04-01,2067.63,2059.69,-0.384,2072.67,2059.32,0,0.0
2015-04-02,2060.03,2066.96,0.336,2073.36,2059.68,0,0.0
2015-04-06,2064.87,2080.62,0.763,2073.71,2060.16,1,0.0
2015-04-07,2080.79,2076.33,-0.214,2074.2,2060.55,1,0.0
2015-04-08,2076.94,2081.9,0.239,2074.7,2060.97,1,0.0
2015-04-09,2081.29,2091.18,0.475,2075.93,2061.5,1,0.0
2015-04-10,2091.51,2102.06,0.504,2077.93,2062.12,1,0.0
2015-04-13,2102.03,2092.43,-0.457,2079.35,2062.65,1,0.0
2015-04-14,2092.28,2095.84,0.17,2081.37,2063.2,1,0.0
2015-04-15,2097.82,2106.63,0.42,2083.09,2063.74,1,0.0
2015-04-16,2105.96,2104.99,-0.046,2084.19,2064.31,1,0.0
2015-04-17,2102.58,2081.18,-1.018,2084.98,2064.59,0,0.0
2015-04-20,2084.11,2100.4,0.782,2085.74,2064.96,1,0.0
2015-04-21,2102.82,2097.29,-0.263,2086.57,2065.24,1,0.0
2015-04-22,2098.27,2107.96,0.462,2087.8,2065.65,1,0.0
